20081010T020221.297549,9.68,0.0959931088597,0,6167946.0216,229959.468954,-646.658912825,0,1,20081010T020221.299128,6167937.56371,229964.179082,-647.213337922,0.0210879724473,-0.00344746583141,-0.575675312673
20081010T020222.073604,8.41,-0.0523598775598,0,6167944.39944,229958.482965,-646.877840657,0,1,20081010T020222.068010,6167937.9511,229963.908838,-647.210661413,0.0254487097263,-0.00119338231161,-0.618849102651
20081010T020223.993731,7.97,0.261799387799,0,6167945.83046,229959.312164,-646.919678154,0,1,20081010T020223.991713,6167938.82679,229963.169718,-647.208462498,0.0212064124644,-0.00589608307928,-0.736750427877
20081010T020224.331280,7.76,0.283616003449,0,6167945.80662,229959.29725,-646.955998962,0,1,20081010T020224.333661,6167938.97192,229963.03073,-647.207574598,0.0216074567288,-0.00586665188894,-0.755134884511
20081010T020226.738059,6.61,0.462512251778,0,6167946.08708,229959.41029,-647.240492671,0,1,20081010T020226.732291,6167939.94193,229961.973462,-647.201638813,0.0159062743187,0.00156752439216,-0.827600781118
20081010T020228.222029,5.84,0.353429173529,0,6167945.56121,229958.271871,-647.307590601,0,1,20081010T020228.215063,6167940.50691,229961.310007,-647.200366652,0.0164512693882,0.00189487950411,-0.864263836537
20081010T020229.450501,4.84,0.606501915068,0,6167945.52196,229959.144992,-647.519071972,0,1,20081010T020229.452872,6167940.9034,229960.800597,-647.199200081,0.0193267911673,0.00252332701348,-0.917230431234
20081010T020229.543856,4.84,0.593411945678,0,6167945.54147,229958.987401,-647.516442105,0,1,20081010T020229.549858,6167940.95548,229960.730028,-647.19736944,0.0199295002967,0.00388474832289,-0.923372570668
20081010T020229.549998,4.9,0.558505360638,0,6167945.53359,229958.80811,-647.496494668,0,1,20081010T020229.549858,6167940.95548,229960.730028,-647.19736944,0.0199295002967,0.00388474832289,-0.923372570668
20081010T020229.902101,4.75,0.606501915068,0,6167945.53536,229958.790789,-647.523980822,0,1,20081010T020229.910801,6167941.06367,229960.582604,-647.197200173,0.0215166732669,0.00288768974133,-0.954138104116
20081010T020231.034162,4.52,0.663225115758,0,6167945.69439,229958.363334,-647.578513264,0,1,20081010T020231.031629,6167941.41713,229960.026553,-647.199235032,0.0191044770181,0.0020600380376,-0.999020878469
20081010T020231.611824,4.54,0.903207887907,0,6167946.16991,229959.098965,-647.690326687,0,1,20081010T020231.608540,6167941.60313,229959.717634,-647.20190388,0.0168580636382,0.000781654205639,-0.997603241597
20081010T020311.112650,12.52,-0.781034840267,0,6167947.28294,229958.605119,-646.855369148,0,1,20081010T020311.113456,6167943.87247,229946.5679,-647.215493722,0.0190314464271,-0.00149904750288,2.10448145866
20081010T020312.300803,11.9,-1.05592419746,0,6167947.24904,229958.418738,-647.301039513,0,1,20081010T020312.303272,6167943.54518,229947.108992,-647.211455167,0.0145485140383,0.00410084659234,2.33652877808
20081010T020312.356684,11.81,-1.05592419746,0,6167947.05644,229958.395312,-647.301501803,0,1,20081010T020312.367263,6167943.53369,229947.121825,-647.211333781,0.0145707959309,0.00303157768212,2.35007333755
20081010T020813.894631,10.81,0.567232006898,0,6167946.22889,229959.584382,-646.710285465,0,1,20081010T020813.899819,6167937.52115,229966.016735,-647.200437505,0.0260334871709,0.0024177969899,-1.17399675051
20081010T020816.630880,8.84,0.850848010347,0,6167947.08951,229959.677351,-647.211509551,0,1,20081010T020816.629398,6167938.75832,229962.770103,-647.203689378,0.020115185529,0.000779058900662,-1.17391378084
20081010T020817.870618,7.95,0.994837673637,0,6167947.10688,229959.675176,-647.438057631,0,1,20081010T020817.869208,6167939.28435,229961.375378,-647.202445755,0.0171180870384,-0.00207814155146,-1.17350751558
20081010T020818.510662,6.54,1.01229096616,0,6167946.01204,229959.385158,-647.599200622,0,1,20081010T020818.512109,6167939.54628,229960.684332,-647.208903014,0.0188714060932,0.00563691044226,-1.17411119143
20081010T020819.070735,5.91,0.951204442337,0,6167945.57967,229958.703519,-647.576538233,0,1,20081010T020819.065024,6167939.76828,229960.099547,-647.20765972,0.0192483514547,-0.00203966442496,-1.1504834334
20081010T020819.686913,5.68,0.645771823238,0,6167945.54387,229958.504656,-647.437866973,0,1,20081010T020819.680928,6167939.92897,229959.700049,-647.20887268,0.0108371824026,-0.0044460115023,-0.822165791188
20081010T020821.870921,5.72,1.0471975512,0,6167946.73666,229959.562263,-647.680889984,0,1,20081010T020821.873591,6167941.06187,229958.471769,-647.203825378,0.0148739162832,-0.00187616923358,-0.818558994924
20081010T020822.378945,4.82,0.951204442337,0,6167946.12421,229958.673909,-647.71359169,0,1,20081010T020822.374514,6167941.26056,229958.234319,-647.20631874,0.0108022103086,-0.000834921782371,-0.820408169423
20081010T020850.372813,14.12,1.01665428929,0,6167947.24363,229958.491711,-647.054970852,0,1,20081010T020850.367203,6167947.66145,229944.343873,-647.160804556,0.00216282904148,-0.00543217221275,0.614632725716
20081010T020854.053117,12.29,-0.693768377668,0,6167946.70645,229958.30021,-646.758147156,0,1,20081010T020854.052635,6167948.12263,229946.101743,-647.176641548,0.00937586836517,0.0104309488088,2.40815329552
20081010T020856.309094,11.09,-0.741764932098,0,6167945.78191,229958.344164,-646.823872852,0,1,20081010T020856.308288,6167946.85832,229947.310227,-647.200374799,-0.00211280444637,0.00457202969119,2.4370906353
20081010T020856.629108,11.36,-0.689405054538,0,6167944.9546,229958.751552,-646.730770161,0,1,20081010T020856.627238,6167946.61209,229947.522829,-647.196939463,-0.00277701159939,0.00409362185746,2.4343931675
